master_1   | INFO: 2022/11/29 21:40:37 master.go:135: Seed:
master_1   | INFO: 2022/11/29 21:40:37 master.go:143: [9.53951 0.504605]
master_1   | INFO: 2022/11/29 21:40:37 master.go:143: [-2.05413 3.29546]
master_1   | INFO: 2022/11/29 21:40:37 master.go:143: [-1.81283 -0.790834]
master_1   | INFO: 2022/11/29 21:40:37 master.go:143: [10.3977 6.4489]
master_1   | INFO: 2022/11/29 21:40:37 master.go:237: Task correctly injected
master_1   | INFO: 2022/11/29 21:40:37 master.go:638: Scheduling mapper task: 3
master_1   | INFO: 2022/11/29 21:40:37 master.go:340: Job 0 assigned to mapper 4e38227d353ba45c73008ddc45118cb7f08d67de1174034896f248632bc69d52
master_1   | INFO: 2022/11/29 21:40:37 master.go:340: Job 1 assigned to mapper ad56ff199ed5a5418357fe6a34b3ee31b773aef19d6468cfd77c78e373f1d126
master_1   | INFO: 2022/11/29 21:40:37 share.go:201: Sent mapper job 1 [begin 51727470, end 103454940] task 3
master_1   | INFO: 2022/11/29 21:40:37 share.go:201: Sent mapper job 0 [begin 0, end 51727470] task 3
master_1   | INFO: 2022/11/29 21:40:45 master.go:1313: received message *net.TCPConn &{{0xc000122280}}
master_1   | INFO: 2022/11/29 21:40:45 master.go:477: Mapper job 0 completed, task 3 .
master_1   | INFO: 2022/11/29 21:40:45 master.go:1313: received message *net.TCPConn &{{0xc00016c580}}
master_1   | INFO: 2022/11/29 21:40:45 master.go:477: Mapper job 1 completed, task 3 .
master_1   | INFO: 2022/11/29 21:40:45 master.go:495: Map task 3 completed.
master_1   | INFO: 2022/11/29 21:40:45 master.go:1104: Scheduling reducer task: 3
master_1   | INFO: 2022/11/29 21:40:45 master.go:844: Job 0 assigned to reducer 57149705fdbbcce1e59a66f9fd8a2c9e5a2e9e1f6a5895d379d79e7eff1a3d47
master_1   | INFO: 2022/11/29 21:40:45 master.go:844: Job 1 assigned to reducer c747fd0f439724057adf547be96117b2443abab2698d58c4f972ec4a639e1b9f
master_1   | INFO: 2022/11/29 21:40:45 share.go:201: Sent reducer job 1 : [1 2] task 3
master_1   | INFO: 2022/11/29 21:40:45 share.go:201: Sent reducer job 0 : [3 0] task 3
master_1   | INFO: 2022/11/29 21:40:45 master.go:1313: received message *net.TCPConn &{{0xc000122980}}
master_1   | INFO: 2022/11/29 21:40:45 master.go:1033: Reducer job 0 completed, task 3 .
master_1   | INFO: 2022/11/29 21:40:45 master.go:1313: received message *net.TCPConn &{{0xc00016cb00}}
master_1   | INFO: 2022/11/29 21:40:45 master.go:1033: Reducer job 1 completed, task 3 .
master_1   | INFO: 2022/11/29 21:40:45 master.go:1052: Reducer task 3 completed.
